,1.000_512000_256_1
0,0.0
5,4.9921875
10,9.9921875
15,14.9453125
20,19.984375
25,24.816406
30,29.921568
35,34.51953
40,39.679688
45,44.476562
50,49.359375
55,54.05078
60,58.815685
65,64.14844
70,68.66406
75,73.52344
80,78.27344
85,83.58594
90,88.12109
95,93.07422
100,98.82031
105,101.27344
110,106.16406
115,111.90234
120,116.30078
125,120.71484
130,125.10156
135,132.1914
140,136.48828
145,138.69531
150,142.6875
155,149.61719
160,154.69922
165,160.21094
170,162.78125
175,168.63672
180,171.20312
185,175.38281
190,179.27734
195,183.29688
200,191.67578
205,196.0039
210,200.72266
215,200.96484
220,212.91016
225,213.17578
230,217.23438
235,216.89453
240,229.96094
245,219.67969
250,234.3125
255,241.6836
260,242.01562
265,245.1914
270,255.22656
275,256.22656
280,261.70703
285,267.15625
290,267.20312
295,278.3789
300,283.27344
305,290.5703
310,288.3828
315,293.3672
320,284.3672
325,304.51562
330,298.95312
335,313.54688
340,311.94922
345,318.82812
350,317.11328
355,325.35156
360,331.1172
365,331.65234
370,331.47266
375,343.75
380,344.04688
385,356.95703
390,349.83984
395,354.2578
400,357.8672
405,362.79297
410,377.01953
415,373.57812
420,383.65625
425,369.53726
430,395.5
435,383.2539
440,395.65234
445,405.79688
450,400.41016
455,404.57422
460,419.66797
465,410.8672
470,431.58984
475,418.03125
480,417.69922
485,440.00784
490,446.29297
495,449.28516
500,443.8047
505,447.55078
510,451.46875
515,457.71484
520,460.15234
525,443.5703
530,485.67188
535,469.6706
540,476.0625
545,487.7461
550,480.5625
555,487.58984
560,473.83984
565,487.76953
570,504.0703
575,507.35156
580,507.30078
585,510.59766
590,516.0469
595,509.65234
600,517.97266
605,515.14844
610,513.1758
615,526.59766
620,530.8828
625,524.4531
630,531.3672
635,531.4219
640,529.3086
645,569.46277
650,539.0117
655,555.98047
660,559.52344
665,558.84375
670,579.7461
675,555.3633
680,579.1914
685,587.6719
690,586.7578
695,596.79297
700,581.7461
705,575.4883
710,601.7539
715,593.64453
720,607.79297
725,594.625
730,603.52344
735,628.1289
740,634.4961
745,604.0117
750,635.33203
755,651.3789
760,633.5625
765,636.14844
770,645.77734
775,661.9531
780,632.8711
785,640.0664
790,647.0508
795,655.83203
800,685.26953
805,678.41797
810,643.1797
815,681.0742
820,660.3672
825,657.2422
830,691.77344
835,660.1367
840,705.7578
845,701.91797
850,714.9336
855,694.83527
860,731.34375
865,712.3164
870,711.34375
875,716.40625
880,663.09766
885,703.6211
890,728.16797
895,723.04297
900,704.64453
905,719.54297
910,747.8867
915,751.03516
920,724.02734
925,766.4883
930,751.8086
935,760.77344
940,747.8008
945,743.2031
950,764.5255
955,761.33984
960,762.2578
965,775.5469
970,802.8086
975,761.33984
980,772.03906
985,780.9258
990,783.6367
995,810.8633
1000,795.3203
1005,763.83984
1010,786.7922
1015,781.58203
1020,770.5117
1025,793.71094
1030,783.8
1035,813.3203
1040,808.6406
1045,781.8711
1050,816.29297
1055,791.09375
1060,812.03125
1065,821.03125
1070,816.85156
1075,784.22656
1080,845.0742
1085,826.41016
1090,836.52344
1095,853.2941
1100,837.3008
1105,804.8008
1110,876.16797
1115,857.0625
1120,810.85156
1125,832.90234
1130,859.91406
1135,899.8594
1140,895.0703
