,1.05_722182
0,1.0
1,1.8346883
2,2.5888689
3,3.2969432
4,4.03902
5,4.7144127
6,5.351803
7,5.9298244
8,6.4720497
9,7.1379914
10,7.597518
11,8.275681
12,8.892734
13,9.350397
14,10.125548
15,10.701739
16,11.124779
17,11.442086
18,11.936189
19,12.240037
20,13.159722
21,14.02046
22,14.166814
23,14.727848
24,14.730942
25,15.527523
26,15.945566
27,16.707787
28,16.95045
29,17.539486
30,18.096775
31,18.314617
32,19.124775
33,19.236124
34,19.821243
35,21.148115
36,20.52477
37,21.235867
38,21.872282
39,22.512217
40,22.708782
41,23.007162
42,23.358025
43,24.146128
44,24.71578
45,25.046347
46,25.79913
47,25.611795
48,27.075602
49,25.789797
50,28.116299
51,26.962013
52,27.880869
53,28.547304
54,28.30336
55,29.034422
56,28.506184
57,30.238178
58,29.53866
59,30.746101
60,31.290926
61,30.41842
62,31.949827
63,31.171862
64,32.292175
65,33.690327
66,32.73104
67,34.58349
68,32.904846
69,33.98271
70,36.0968
71,35.303352
72,36.179577
73,36.279423
74,37.159966
75,35.287243
76,36.848045
77,38.10572
78,36.824734
79,38.246742
80,38.07766
81,39.097137
82,40.743793
83,39.341896
84,41.73846
85,40.14706
86,39.103447
87,40.439964
88,41.101036
89,42.63923
90,42.347137
91,41.797672
92,44.31932
93,41.437153
94,41.32152
95,44.168198
96,43.454224
97,44.937668
98,46.191658
99,45.166668
100,43.891125
101,44.813015
102,47.53559
103,46.530632
104,47.820164
105,47.127605
106,48.076454
107,45.579838
108,51.28952
109,47.50644
110,49.796627
111,50.37236
112,51.50135
113,50.296722
114,50.23617
115,51.639214
116,50.58108
117,54.0532
118,52.85663
119,50.924824
120,53.967537
121,53.797115
122,52.684544
123,53.194542
124,52.325043
125,54.67715
126,54.089336
127,55.104206
128,55.357143
129,56.315884
130,56.76225
131,56.34066
132,55.029
133,56.668438
134,58.52476
135,56.642357
136,57.635956
137,59.269928
138,58.53977
139,57.129402
140,56.04583
141,57.98574
142,57.78622
143,59.776188
144,59.242424
145,57.35289
146,64.08936
147,61.366577
148,57.083046
149,61.040817
150,62.165306
151,63.274803
152,61.6063
153,65.0865
154,66.253525
155,64.12874
156,63.6135
157,65.577934
158,66.64086
159,61.529785
160,65.12191
161,66.563156
162,66.86999
163,68.27932
164,60.400536
165,65.36339
166,69.772964
167,67.352684
168,68.02681
169,69.80295
170,65.682816
171,68.24058
172,65.43172
173,71.978745
174,69.25045
175,66.1127
176,68.54122
177,69.42138
178,72.34558
179,67.65813
180,71.23134
181,72.28571
182,74.45119
183,70.8177
184,75.08093
185,72.94592
186,74.10299
187,77.30087
188,72.63134
189,73.6395
190,71.82908
191,76.75771
192,73.49775
193,74.10866
194,73.74251
195,73.01995
196,77.22973
197,78.07671
198,74.86934
199,74.684494
200,75.695694
201,75.80365
202,78.46168
203,77.933334
204,75.09409
205,74.32525
206,74.95652
207,78.965034
208,80.68682
209,77.402664
210,82.298874
211,85.56473
212,74.39859
213,79.26618
214,81.66931
215,83.398224
216,81.77158
217,82.49073
218,84.6531
219,80.61023
220,83.693565
221,82.321396
222,87.738556
223,76.863754
224,83.31922
225,86.24324
226,83.6875
227,80.59549
228,89.63256
229,84.724846
230,80.605896
231,83.453896
232,82.60442
233,86.63668
234,86.66608
235,90.39702
236,89.957924
237,88.21015
238,88.541664
239,91.85726
240,81.90677
241,87.0511
242,87.572205
243,86.2035
244,85.73363
245,86.176735
246,90.134995
247,83.24667
248,88.0115
249,87.95779
250,88.56017
251,94.22329
252,89.35356
253,90.5948
254,89.67104
255,87.79378
256,94.81787
257,92.552986
258,94.5925
259,94.489845
260,93.08919
261,87.43398
262,90.79947
263,98.745186
264,93.22555
265,100.65806
266,96.91384
267,96.10268
268,92.85838
269,91.185486
270,94.17513
271,98.99739
272,98.31163
273,95.822556
274,89.720604
275,89.87922
276,98.36429
277,95.32694
278,97.80089
279,97.50586
280,102.8986
281,93.736115
282,99.50574
283,95.934456
284,96.05982
285,103.73762
286,98.54797
287,98.29537
288,98.77828
289,95.79911
290,105.466606
291,95.228905
292,100.72433
293,102.13571
294,102.20267
295,100.520035
296,100.04021
297,99.40893
298,98.19327
299,100.49955
300,104.77001
301,97.065575
302,104.76486
303,103.117386
304,104.512215
305,105.42718
306,111.21226
307,99.218285
308,104.04805
309,109.6145
310,105.914795
311,106.68951
312,101.76332
313,101.10791
314,109.15202
315,97.219536
316,106.350136
317,105.90942
318,105.92395
319,103.2866
320,110.38158
321,115.827644
322,106.85456
323,108.92528
324,111.20107
325,108.7528
326,109.167534
327,104.58193
328,107.3989
329,111.68905
330,115.09338
331,110.1689
332,116.01323
333,112.79433
334,109.02466
335,104.683876
336,106.80266
337,111.03414
338,115.440636
339,112.7048
340,116.24754
341,117.16989
342,111.64957
343,112.92294
344,113.7619
345,108.35918
346,111.85562
347,113.905525
348,116.067215
349,114.12625
350,113.00604
351,116.504456
352,104.778984
353,105.712654
354,112.45606
355,107.0895
356,107.46667
357,116.89421
358,113.19745
359,113.85287
360,117.58696
361,116.28027
362,111.319145
363,121.554214
364,115.90358
365,113.83288
366,116.25175
367,117.34325
368,117.71797
369,119.225464
370,121.79893
371,118.90378
372,115.49016
373,118.367455
374,116.51276
375,124.713524
376,119.327065
377,117.65556
378,117.094986
379,122.90636
380,125.6486
381,120.38664
382,121.83115
383,125.778366
384,116.82624
385,121.096306
386,123.026665
387,126.18611
388,122.910324
389,122.511154
390,117.55605
391,122.92705
392,117.825584
393,129.99367
394,128.5884
395,124.668724
396,121.88354
397,129.98042
398,119.86953
399,119.14929
400,119.687225
401,131.70753
402,124.74629
403,122.10852
404,134.2551
405,117.653534
406,126.71695
407,131.21735
408,119.04332
409,122.53195
410,125.71288
411,132.38657
412,115.85688
413,128.13727
414,129.97383
415,127.505684
416,126.96751
417,130.28091
418,129.14696
419,133.07233
420,129.6147
421,120.1671
422,127.05617
423,131.80109
424,122.49687
425,128.68051
426,129.4952
427,136.97371
428,133.15234
429,126.45642
430,136.47359
431,123.36865
432,133.48831
433,132.55641
434,125.211555
435,138.78513
436,135.82169
437,139.68541
438,133.71097
439,137.71378
440,127.24123
441,131.59055
442,137.02966
443,132.48492
444,142.61073
445,138.40158
446,133.95238
447,139.50345
448,138.30734
449,128.65689
450,134.71506
451,140.5948
452,133.69585
453,137.91202
454,138.82703
455,133.55634
456,131.57011
457,134.57434
458,144.6892
459,132.35867
460,130.41023
461,130.95032
462,130.88017
463,132.97403
464,131.4783
465,137.53604
466,142.4075
467,150.4487
468,134.69525
469,137.3417
470,144.64171
471,133.58356
472,138.35458
473,145.44865
474,145.87454
475,140.52608
476,134.53839
477,137.67108
478,136.48965
479,145.85559
480,126.70411
481,152.43729
482,131.80107
483,135.25537
484,143.59116
485,139.8599
486,145.48091
487,133.15707
488,133.15283
489,138.21637
490,146.8488
491,146.97404
492,140.86919
493,143.1889
494,135.53047
495,137.86661
496,147.8621
497,142.64668
498,136.23279
499,132.62962
500,135.628
501,142.04199
502,151.30446
503,158.3403
504,142.03651
505,140.23512
506,149.49608
507,142.49075
508,143.89037
509,139.95009
510,151.74274
511,155.51727
512,151.89378
513,142.14098
514,146.48866
515,142.86525
516,139.18059
517,138.29181
518,148.72192
519,143.03654
520,146.10555
521,146.29965
522,147.96861
523,158.37993
524,155.18124
525,152.79247
526,156.07611
527,147.4072
528,155.01949
529,161.09367
530,149.06631
531,151.584
532,160.65756
533,153.25261
534,143.26497
535,147.52443
536,149.15742
537,148.72903
538,136.95526
539,143.56406
540,155.0043
541,149.1381
542,150.51117
543,151.04951
544,153.85106
545,165.17061
546,153.74394
547,148.2415
548,153.21774
549,167.95552
550,156.87714
551,159.53511
552,155.94025
553,167.78212
554,150.77219
555,162.47675
556,156.3886
557,160.60172
558,155.68767
559,164.4699
560,165.93268
561,158.17804
562,155.88727
563,158.32175
564,153.6239
565,154.69205
566,167.7924
567,168.64706
568,152.44809
569,150.53233
570,156.28008
571,160.12534
572,159.80945
573,147.86804
574,160.9537
575,167.08192
576,166.52979
577,164.03683
