,1.20_7222182
0,1.0
1,1.7528571
2,2.4404433
3,3.0254238
4,3.700428
5,4.2282915
6,4.790419
7,5.3755655
8,6.2268906
9,6.2735167
10,7.0341883
11,7.339105
12,7.818448
13,8.687065
14,9.134349
15,8.910819
16,9.747416
17,10.480243
18,10.544693
19,11.001445
20,11.270833
21,12.02849
22,12.498571
23,13.421356
24,13.3474455
25,13.927835
26,15.07478
27,15.39
28,15.374302
29,15.45927
30,15.481632
31,16.448324
32,17.800814
33,17.276411
34,17.559044
35,18.159945
36,18.468578
37,18.369942
38,19.297932
39,19.10951
40,19.247875
41,19.922857
42,20.521008
43,21.154179
44,20.719666
45,22.13649
46,21.783098
47,22.111595
48,24.217453
49,24.358799
50,24.204802
51,23.109686
52,23.985735
53,23.757484
54,25.616457
55,24.183098
56,26.249643
57,26.401709
58,27.861471
59,27.502216
60,27.893162
61,26.650888
62,27.23615
63,27.902256
64,28.468391
65,28.163912
66,28.766619
67,29.901663
68,30.410437
69,31.264746
70,30.584991
71,31.63889
72,31.582172
73,30.697222
74,33.237625
75,33.19075
76,33.25303
77,33.993065
78,32.989304
79,34.25
80,34.5983
81,33.07948
82,33.77652
83,34.44202
84,34.112137
85,35.93831
86,36.20851
87,36.574074
88,36.15989
89,38.855957
90,35.984917
91,37.449036
92,39.055305
93,36.818558
94,37.959885
95,39.503437
96,40.168793
97,38.911594
98,41.38319
99,40.951153
100,37.530884
101,42.27933
102,41.65362
103,42.220978
104,38.078796
105,43.778233
106,45.03366
107,43.659973
108,45.22313
109,44.054977
110,45.517345
111,45.16102
112,44.295486
113,42.69986
114,45.81224
115,43.02746
116,44.871643
117,47.683994
118,43.98165
119,48.27671
120,46.069702
121,48.866188
122,48.252907
123,45.202816
124,44.406433
125,48.15
126,49.15775
127,48.80028
128,50.37794
129,50.606106
130,50.373596
131,49.139084
132,49.848316
133,51.84344
134,48.80274
135,51.739315
136,51.00296
137,51.23375
138,54.29872
139,51.872158
140,54.656296
141,52.64812
142,50.487408
143,53.63068
144,53.16852
145,55.22314
146,55.610737
147,52.779564
148,54.097527
149,57.1669
150,54.7721
151,54.31387
152,54.329113
153,55.3596
154,59.31487
155,59.145115
156,58.53634
157,60.87057
158,60.683357
159,54.11049
160,57.692417
161,56.46888
162,59.556484
163,54.771347
164,58.560223
165,53.85588
166,60.71857
167,54.903507
168,59.679485
169,61.55352
170,62.23621
171,60.62393
172,62.44655
173,62.515987
174,57.69857
175,62.968704
176,61.33965
177,64.76773
178,66.48879
179,66.868744
180,61.694443
181,61.5875
182,63.775887
183,66.44749
184,65.687675
185,64.629944
186,62.654358
187,69.67544
188,65.49858
189,66.2447
190,62.197693
191,67.31571
192,69.47188
193,68.111115
194,67.5958
195,67.72984
196,70.96196
197,69.160614
198,68.53586
199,72.95232
200,73.292984
201,64.43695
202,71.5812
203,67.23661
204,70.40113
205,60.461315
206,67.3125
207,68.27631
208,71.009384
209,70.60585
210,73.385376
211,73.1072
212,65.933235
213,70.5811
214,74.244545
215,71.793495
216,70.004234
217,71.87697
218,74.92
219,68.637955
220,77.94368
221,76.066475
222,71.734924
223,77.85795
224,76.504295
225,75.72113
226,74.58735
227,79.28493
228,75.217636
229,76.37315
230,78.7133
231,81.635345
232,79.83784
233,75.95978
234,77.08658
235,85.92527
236,79.21265
237,81.32179
238,82.48392
239,80.87705
240,83.21135
241,77.88522
242,78.018105
243,75.842026
244,79.419914
245,81.67242
246,86.55387
247,83.7231
248,79.259514
249,83.18836
250,84.149124
251,82.30428
252,81.329445
253,83.60632
254,80.47647
255,87.583336
256,83.11033
257,89.2
258,73.431816
259,87.94556
260,81.50449
261,82.35007
262,88.531555
263,89.64825
264,91.38167
265,81.17974
266,89.68245
267,78.85405
268,83.197754
269,76.07288
270,87.21208
271,86.17787
272,85.03894
273,89.87819
274,83.408134
275,82.86675
276,93.62622
277,94.06136
278,87.63557
279,86.79487
280,95.33473
281,91.73407
282,88.01969
283,92.53511
284,92.359116
285,91.04392
286,92.5131
287,94.240524
288,92.98898
289,89.0
290,91.56734
291,88.648125
292,81.52869
293,91.708916
294,90.39219
295,92.54074
296,95.66898
297,96.93768
298,82.86252
299,95.4936
300,90.76558
301,89.62197
302,93.18889
303,96.17623
304,91.298836
305,96.70468
306,96.00143
307,100.72143
308,99.73961
309,94.53779
310,97.49794
311,95.1922
312,93.32808
313,86.57185
314,97.17151
315,98.05322
316,93.25872
317,97.418335
318,98.8675
319,98.89779
320,103.889694
321,95.513084
322,100.029785
323,106.84129
324,102.62585
325,96.73217
326,100.47976
327,100.05165
328,103.58027
329,102.23435
330,99.27193
331,97.01114
332,109.40028
333,103.470505
334,106.206474
335,102.96625
336,92.35095
337,107.27221
338,109.51023
339,105.268906
340,103.061646
341,105.518684
342,101.35457
343,106.38215
344,95.68022
345,106.351006
346,104.89799
347,107.03077
348,99.23225
349,103.5321
350,112.05256
351,111.83721
352,100.85507
353,102.22695
354,102.74892
355,104.310196
356,104.605934
357,103.58714
358,100.08247
359,105.311386
360,110.60468
