,1.01_722182
0,1.0
1,1.832
2,2.6150794
3,3.3869188
4,4.1063333
5,4.756714
6,5.4647107
7,6.1216
8,6.712617
9,7.258552
10,7.990596
11,8.770023
12,9.081954
13,9.7576475
14,10.314355
15,10.872291
16,11.319937
17,12.447634
18,12.618111
19,13.142633
20,13.81245
21,14.440598
22,14.449643
23,15.1268835
24,15.704815
25,16.464088
26,17.058918
27,17.303396
28,17.701767
29,18.325293
30,18.359015
31,18.750782
32,19.168007
33,19.682
34,20.494822
35,20.99269
36,21.970428
37,22.001575
38,22.642296
39,23.084652
40,23.435097
41,24.78939
42,25.060795
43,24.480923
44,25.697138
45,27.013397
46,26.593578
47,26.475676
48,27.03162
49,26.660273
50,28.166666
51,28.466194
52,28.597485
53,30.031502
54,30.517187
55,30.598892
56,30.275621
57,31.306581
58,30.81119
59,32.74199
60,32.80315
61,32.97752
62,32.463852
63,32.192528
64,33.967175
65,34.551426
66,34.18189
67,37.191387
68,35.878124
69,35.76521
70,36.374027
71,37.076355
72,37.316936
73,36.899208
74,38.06833
75,38.264824
76,39.001575
77,39.08603
78,40.77248
79,41.035744
80,41.466103
81,40.773335
82,40.549362
83,41.64664
84,43.60508
85,41.71148
86,43.268482
87,41.916134
88,44.33178
89,46.207306
90,45.067703
91,43.416996
92,46.033253
93,44.196526
94,44.673847
95,46.413113
96,48.812897
97,47.227272
98,49.290573
99,49.625492
100,47.64026
101,47.888447
102,49.74807
103,49.90031
104,51.57297
105,50.766273
106,49.479298
107,51.2
108,52.16486
109,51.191284
110,51.166534
111,51.56986
112,52.794003
113,53.907272
114,56.484375
115,53.351692
116,53.87369
117,56.0968
118,52.7368
119,52.44248
120,55.63815
121,53.09452
122,56.56275
123,55.382076
124,57.614254
125,55.217052
126,56.64562
127,57.822517
128,58.18745
129,60.41508
130,58.380383
131,57.787014
132,59.553528
133,62.18111
134,60.506817
135,60.61935
136,62.791473
137,61.55413
138,60.094383
139,62.567093
140,62.33654
141,61.80692
142,62.88854
143,61.367527
144,62.957756
145,63.158268
146,63.529007
147,65.50635
148,63.116615
149,66.896736
150,63.20945
151,63.769657
