,1.00_7222
0,1.0
1,1.7576602
2,2.3214285
3,2.7833426
4,3.053872
5,3.2697072
6,3.565651
7,3.5664217
8,3.820339
9,3.7910614
10,3.8655648
11,3.933028
12,3.9374301
13,3.9216018
14,3.975097
15,4.0840287
16,4.0151772
17,3.9830508
18,3.9596412
19,4.0531073
20,4.0723906
21,4.150056
22,4.005596
23,4.145845
24,4.069351
25,4.075808
26,3.9831839
27,4.0222344
28,3.8798428
29,4.0639014
30,4.072464
31,4.0585938
32,4.1207757
33,4.089376
34,3.9877641
35,3.9310741
36,4.012987
37,4.153107
38,3.9266517
39,4.001121
40,4.0486994
41,4.0783873
42,4.2082405
43,4.059218
44,4.0105734
45,3.9275444
46,3.9529147
47,3.9216666
48,4.056465
49,4.0850472
50,4.130141
51,4.1002803
52,4.0296755
53,3.9731243
54,4.107771
55,4.07832
56,4.1406336
57,4.127828
58,4.0
59,3.9491432
60,3.9289312
61,4.1156197
62,4.0078697
63,3.9966667
64,4.0597763
65,4.0601215
66,3.9799106
67,4.142938
68,3.9881623
69,4.136108
70,4.1604037
71,4.0117645
72,3.97779
73,3.892074
74,4.126533
75,4.1821227
76,4.048904
77,3.9691012
78,3.9395788
79,3.9836342
80,4.0877094
81,3.9900222
82,4.0867605
83,4.032493
84,4.0402265
85,4.096665
86,4.08573
87,4.0179877
88,4.2305555
89,3.879525
90,3.9802036
91,4.069004
92,4.021111
93,3.9314222
94,4.256468
95,4.005134
96,4.013216
97,4.1221795
98,4.050311
99,3.9933074
100,4.172958
101,4.0795517
102,4.1075807
103,4.0072994
104,3.998306
105,3.9179602
106,4.1041203
107,4.0659404
108,3.9864483
109,4.0255246
110,4.01612
111,4.1043525
112,4.0733895
113,4.008999
114,3.9463086
115,3.9859943
116,4.062605
117,4.1142693
118,4.120583
119,4.1727223
120,4.0612016
121,3.9826524
122,4.0125213
123,4.0105324
124,3.9180696
125,4.0495543
126,4.1303115
127,4.1620555
128,3.9397993
129,4.0997734
130,4.095691
131,4.0462914
132,3.983717
133,4.0174747
134,4.0033336
135,4.2003417
136,4.1402917
137,4.0584307
138,4.2006764
139,4.057254
140,4.0784535
141,4.004494
142,4.051038
143,3.9728506
144,3.951025
145,4.0380955
146,4.033241
147,4.133594
148,3.9949439
149,4.0044894
150,4.0117316
151,4.041387
152,4.132922
153,4.127142
154,4.0393925
155,4.167403
156,4.112181
157,4.034273
158,3.9616027
159,3.822899
160,4.093154
161,4.030354
162,4.072072
163,4.1387186
164,4.003913
165,3.969325
166,4.068677
167,4.1662908
168,4.005605
169,4.0230894
170,4.0163655
171,3.9994464
172,4.04826
173,3.9749582
174,4.079706
175,3.9858756
176,4.0686
177,3.9191465
178,4.149406
179,4.102767
180,4.084585
181,4.078903
182,4.021691
183,3.9745042
184,4.1862526
185,3.8720405
186,4.192459
187,4.1153417
188,3.9299831
189,4.189189
190,3.9860647
191,4.0436506
192,4.1110497
193,4.078727
194,4.004502
195,3.981205
196,3.9233353
197,4.0482874
198,4.0292497
199,3.9608939
200,3.8747885
201,4.053902
202,4.1006713
203,4.066214
204,3.9318435
205,4.1395216
206,4.187638
207,3.9254236
208,4.0425296
209,4.105618
210,4.081051
211,4.0854893
212,3.9692395
213,4.024239
214,4.142936
215,4.0741773
216,4.044134
217,4.1406865
218,4.078815
219,3.9629629
220,4.039019
221,4.0504155
222,4.086763
223,4.166573
224,4.088964
225,3.9517868
226,3.9487324
227,4.180135
228,4.1168613
229,3.9529147
230,3.9641857
231,4.0452724
232,4.029296
233,4.0562115
234,4.1815143
235,4.0239687
236,4.0428896
237,4.091416
238,3.8607383
239,3.9728966
240,4.150413
241,3.9721448
242,4.193676
243,3.973551
244,4.1558294
245,4.079474
246,3.9652271
247,4.0425773
248,3.9686975
249,4.1014414
250,4.0284915
251,4.0329056
252,4.0462394
253,4.0191655
254,4.145516
255,4.077922
256,4.0022383
257,3.898895
258,4.141667
259,4.1112957
260,4.1153407
261,4.046682
262,4.0509977
263,3.928009
264,4.097175
265,4.034714
266,4.0708265
267,4.1367764
268,3.9815848
269,4.0545864
270,4.01505
271,3.9560378
272,4.107479
273,4.0625353
274,4.035935
275,4.100845
276,4.1120543
277,3.997202
278,3.8841567
279,3.9167597
280,4.2835736
281,4.034387
282,3.9827106
283,3.9849162
284,4.085859
285,3.9311311
286,4.1073637
287,4.11086
288,3.9640248
289,3.9815333
290,4.031755
291,4.049889
292,4.0062323
293,4.0264044
294,4.1431
295,4.027162
296,4.037939
297,4.2615557
298,4.155655
299,4.1078653
300,4.1439734
301,3.9655173
302,3.9023151
303,4.003384
304,4.185
305,4.006693
306,4.125353
307,3.8526785
308,4.0841694
309,3.99375
310,4.084727
311,4.1697273
312,4.174523
313,3.9691358
314,4.065378
315,4.052661
316,3.998309
317,4.140678
318,4.139548
319,4.0682073
320,4.0889263
321,4.1356783
322,3.9408116
323,3.9558413
324,4.100224
325,4.0972066
326,4.0369954
327,4.0112486
328,3.9772222
329,3.9966235
330,4.17779
331,4.0045533
332,4.0278087
333,4.0022483
334,4.118465
335,4.015025
336,4.0692177
337,4.145776
338,3.9862258
339,3.9145868
340,3.9697316
341,4.0603013
342,3.991573
343,3.989972
344,4.1968856
345,3.97681
346,4.1018
347,4.160654
348,3.9434807
349,4.0690436
350,4.0381846
351,4.097493
352,4.041414
353,3.9262803
354,4.0210996
355,3.951053
356,4.1139665
357,4.01909
358,4.0163107
359,4.244681
360,4.058198
361,4.222905
362,4.0399113
363,4.003317
364,3.9517868
365,4.016978
366,4.027027
367,3.9200225
368,4.1509748
369,4.0479913
370,3.9652855
371,4.027824
372,4.058724
373,3.9041784
374,4.1584487
375,4.075014
376,3.941808
377,3.9349775
378,4.2033334
379,3.9000554
380,4.1151037
381,4.017377
382,4.1292324
383,4.039955
384,4.0123806
385,4.030778
386,4.048904
387,4.1464105
388,4.1055555
389,4.0941505
390,4.0674095
391,4.049438
392,3.9428732
393,4.108333
394,3.941932
395,3.9423938
396,3.9615386
397,4.07563
398,4.100565
399,4.1059675
400,4.165644
401,4.087769
402,4.0022535
403,4.0948133
404,4.179473
405,3.970638
406,3.9630458
407,4.100836
408,4.0810356
409,4.094564
410,4.047884
411,4.0314784
412,4.0653267
413,3.9854748
414,4.0038953
415,4.009024
416,4.0919867
417,4.0677676
418,4.0680046
419,4.0300336
420,4.1841664
421,4.003917
422,3.8985093
423,3.9214485
424,3.9926305
425,4.127803
426,4.133333
427,4.1567965
428,4.0011177
429,4.0920906
430,3.9505618
431,4.0739694
432,4.060894
433,4.1023045
434,4.026906
435,4.0078344
436,4.1275654
437,4.154715
438,4.0022373
439,4.103604
440,4.0670424
441,4.0556483
442,4.0893855
443,4.039304
444,3.9473393
445,4.157183
446,3.9558256
447,3.9006734
448,3.9877846
449,4.1683617
450,4.063662
451,4.044307
452,4.0280113
453,4.038074
454,4.047324
455,4.0011306
456,3.9363484
457,4.0169973
458,4.1940975
459,3.9893138
460,4.292273
461,4.0755033
462,3.9944258
463,4.0296254
464,3.983212
465,4.0961213
466,4.202361
467,3.9744017
468,4.1295776
469,3.9886558
470,3.9882681
471,4.1286745
472,3.9743304
473,4.0152974
474,3.9669652
475,4.114891
476,3.9798658
477,4.0885506
478,4.1094723
479,4.1878514
480,4.103624
481,3.9242425
482,4.0923514
483,4.0028343
484,4.011211
485,4.1100507
486,4.188658
487,4.061902
488,4.051152
489,3.9212291
490,4.2256966
491,4.0410113
492,4.0100503
493,3.9893258
494,4.027579
495,4.099275
496,3.935123
497,4.2178106
498,3.9530277
499,4.091214
500,3.8833146
501,4.0504203
502,4.1522355
503,4.0164213
504,4.1787114
505,4.114607
506,4.108333
507,4.047566
508,3.982123
509,4.04606
510,4.0298758
511,4.0796657
512,4.0867605
513,4.001119
514,4.2069936
515,4.021312
516,4.0647683
517,3.9661207
518,4.0428896
519,4.0251255
520,3.9849498
521,4.1006713
522,4.0265536
523,3.9860334
524,4.090909
525,4.005048
526,4.0882025
527,4.005599
528,4.054099
529,3.9353569
530,4.0188155
531,4.053431
532,4.0462756
533,3.9875283
534,4.146659
535,4.0858893
536,4.287542
537,3.9364548
538,4.120318
539,3.9983203
540,4.015864
541,4.002776
542,4.1323614
543,3.9994445
544,4.111547
545,3.98379
546,4.057286
547,3.9893618
548,4.1632314
549,4.1160564
550,3.8977401
551,3.9532294
552,4.1353006
553,4.073513
554,4.018477
555,4.1559734
556,3.9072223
557,4.1270995
558,4.0717487
559,4.002265
560,4.054617
561,3.9621682
562,4.087542
563,3.9848993
564,4.1109214
565,4.142453
566,3.997735
567,4.0794554
568,4.0332227
569,4.0779586
570,3.9656725
571,4.118701
572,3.989302
573,4.005105
574,4.1782513
575,3.9516854
576,4.045
577,4.026569
578,4.154715
579,3.9308422
580,4.083991
581,4.073307
582,3.9932885
583,4.1757507
584,4.100331
585,3.9266927
586,4.070752
587,4.1079297
588,3.9943976
589,4.091467
590,4.0907574
591,3.9264045
592,4.0123663
593,3.9833703
594,4.2266064
595,3.912676
596,4.07816
597,4.043137
598,3.8929765
599,4.104343
600,4.1541877
601,3.9669838
602,3.95164
603,3.9843225
604,4.0680685
605,4.0653267
606,4.0331645
607,4.0090194
608,4.095185
609,4.0950274
610,4.04983
611,3.9822617
612,3.963025
613,3.923034
614,3.9753778
615,4.0574083
616,4.155953
617,4.07727
618,4.041034
619,4.035294
620,4.0335007
621,4.0755877
622,4.0806723
623,4.029589
624,3.9749582
625,4.020845
626,3.9971988
627,4.100943
628,3.9894562
629,3.977414
630,3.9859471
631,3.988129
632,4.1491866
633,4.097507
634,4.0022273
635,3.9462306
636,3.9977715
637,4.088579
638,4.140528
639,4.0085325
640,4.041808
641,4.125139
642,4.1906657
643,4.045223
644,4.0544333
645,4.0281057
646,4.0582957
647,4.0056024
648,4.064516
649,3.9849582
650,3.9315999
651,4.2780294
652,4.194805
653,3.9333334
654,4.0209827
655,4.116031
656,3.9634216
657,3.9352841
658,4.1665726
659,4.0623965
660,4.1253576
661,4.035714
662,4.0396376
663,4.0265927
664,4.0811725
665,4.150838
666,3.9288964
667,3.9329233
668,4.129484
669,4.012936
670,4.0286517
671,4.147939
672,3.9662163
673,4.1921153
674,4.1501975
675,4.0681186
676,3.8791456
677,4.0482335
678,4.0038977
679,4.065242
680,4.0146728
681,3.995439
682,4.1123595
683,4.0908084
684,3.9692307
685,4.1166945
686,4.03288
687,4.307865
688,4.0607424
689,4.163413
690,4.047138
691,3.9414415
692,4.1143827
693,4.071268
694,4.0352073
695,3.9881756
696,4.0429378
697,4.029512
698,4.1097975
699,4.046317
700,4.230769
701,4.0878077
702,4.0726447
703,4.068246
704,3.9292817
705,4.0973845
706,4.226994
707,3.9204738
708,4.051339
709,4.024986
710,3.9668353
711,4.1873927
712,4.166573
713,3.9480448
714,4.0305724
715,4.0606756
716,3.940678
717,3.9317672
718,4.141888
719,4.1106763
720,4.2529845
721,3.993228
722,3.9139845
723,4.102247
724,4.058028
725,4.2009053
726,3.8726656
727,4.102349
728,3.9392235
729,4.150169
730,4.0451756
731,4.094051
732,4.134345
733,4.062257
734,4.118502
735,4.1305556
736,4.0429926
737,3.9121923
738,3.9503946
739,4.113261
740,4.098982
741,4.050876
742,4.033784
743,4.0016856
744,4.078652
745,4.091319
746,4.1157255
747,4.133854
748,4.0570946
749,4.0803623
750,3.9132652
751,4.097808
752,4.060193
753,4.076967
754,4.028684
755,4.0578327
756,3.9434807
757,4.295647
758,4.057542
759,4.154321
760,4.024103
761,3.9702582
762,4.1516004
763,3.9785311
764,4.0335007
765,3.9754052
766,3.9554813
767,4.0965557
768,4.0767493
769,3.901062
770,4.1478558
771,4.1331077
772,4.2456436
773,4.0413175
774,4.112403
775,3.9503348
776,3.8784995
777,4.062886
778,4.079661
779,4.185268
780,3.8253078
781,4.0748034
782,3.933861
783,4.208822
784,3.9827201
785,4.0514255
786,4.1021566
787,4.094361
788,4.0800443
789,4.0504484
790,4.1425376
791,3.9786994
792,3.936737
793,4.0981593
794,4.032796
795,3.9854014
796,4.086511
797,4.1773925
798,4.0228415
799,4.0072665
800,4.021812
801,4.0269513
802,3.9943502
