,1.00_72218
0,1.0
1,1.9746898
2,2.917245
3,3.8485148
4,4.725926
5,5.6074257
6,6.4624567
7,7.223157
8,8.000494
9,8.889218
10,9.549679
11,10.343268
12,11.105473
13,11.732772
14,12.519032
15,13.176558
16,13.40159
17,14.153087
18,14.885148
19,15.378796
20,15.929522
21,16.386217
22,17.424393
23,17.553465
24,17.893984
25,18.677052
26,19.221397
27,19.830702
28,19.9529
29,20.340425
30,20.843302
31,21.320791
32,21.862085
33,21.901882
34,22.499754
35,22.710539
36,23.04722
37,23.518042
38,23.633844
39,23.776186
40,24.580376
41,24.499506
42,24.988653
43,25.264618
44,25.906528
45,25.744566
46,26.113255
47,26.90625
48,26.495794
49,27.023668
50,27.563457
51,27.891035
52,27.179653
53,28.376791
54,28.423058
55,28.913172
56,28.657764
57,28.707777
58,29.276154
59,28.504719
60,28.67359
61,29.638025
62,29.716898
63,30.3826
64,29.569727
65,30.77701
66,30.41749
67,30.632622
68,30.26828
69,30.419771
70,31.46173
71,30.840988
72,30.51923
73,31.93006
74,31.571358
75,32.223763
76,32.195545
77,31.161676
78,32.03506
79,32.47251
80,31.986593
81,33.289318
82,32.340614
83,32.9125
84,32.972427
85,32.769917
86,32.655582
87,33.26673
88,32.139454
89,32.843872
90,33.36652
91,33.514355
92,33.401283
93,33.331356
94,34.27448
95,34.01784
96,33.521545
97,33.742718
98,33.383125
99,33.583702
100,33.058357
101,33.812626
102,33.686634
103,32.613094
104,33.869087
105,35.06098
106,33.357357
107,33.52749
108,34.54973
109,33.31982
110,33.25891
111,34.53125
112,33.760773
113,33.95
114,33.706493
115,34.501984
116,34.976166
117,34.354023
118,34.86802
119,35.126858
120,34.051853
121,34.178802
122,34.85764
123,35.47725
124,35.00497
125,34.765724
126,35.02393
127,35.900246
128,34.241207
129,34.39852
130,34.25768
131,34.68559
132,34.585438
133,34.840775
134,34.982666
135,34.9556
136,34.668144
137,35.997528
138,34.5998
139,36.145905
140,34.956802
141,35.263496
142,35.946304
143,34.0525
144,35.35984
145,35.74876
146,34.949135
147,34.613445
148,35.17749
149,35.079052
150,35.466305
151,36.71605
152,34.92125
153,34.088017
154,35.398914
155,34.968285
156,35.819622
157,36.035305
158,35.806053
159,35.90945
160,35.20734
161,35.660572
162,36.458725
163,35.010925
164,34.666336
165,35.83574
166,35.0667
167,34.767178
168,35.920296
169,34.48743
170,36.43266
171,35.372402
172,35.902718
173,35.622223
174,36.577286
175,35.764183
176,35.394855
177,34.703613
178,36.716774
179,35.171696
180,36.5441
181,34.977634
182,35.85912
183,36.060726
184,34.980167
185,34.06309
186,36.62444
187,34.46188
188,34.591087
189,35.167988
190,35.84958
191,34.601086
192,37.61973
193,35.42468
194,37.05649
195,36.58701
196,37.438118
197,35.984646
198,35.21754
199,35.718952
200,35.519802
201,34.922085
202,34.908417
203,35.894947
204,35.64452
205,35.817463
206,35.834576
207,37.057625
208,36.477917
209,34.708477
210,36.332012
211,35.984222
212,35.000496
213,36.248016
214,36.985134
215,35.23398
216,34.958374
217,36.425606
218,35.485672
219,34.574753
220,36.191257
221,35.140873
222,34.14732
223,35.644093
224,35.310207
225,35.44768
226,35.01777
227,34.957424
228,35.24503
229,35.902874
230,35.25549
231,35.844707
232,34.836067
233,36.509647
234,35.05506
235,35.559406
236,37.25727
237,35.885586
238,36.039127
239,35.24012
240,36.966583
241,36.06611
242,34.772278
243,36.53159
244,36.16791
245,35.582508
246,36.10804
247,35.64339
248,35.130714
249,35.38947
250,36.370407
251,36.417984
252,34.868225
253,35.561047
254,36.32641
255,34.60199
256,35.293385
257,35.587944
258,35.104767
259,36.17469
260,36.172447
261,35.10461
262,34.49107
263,37.180645
264,36.729435
265,34.67889
266,35.406357
267,34.94682
268,37.53472
269,37.074406
270,34.964832
271,35.423702
272,35.38263
273,35.511604
274,36.020397
275,34.57567
276,35.0
277,36.827312
278,35.336304
279,35.53462
280,36.989075
281,36.01737
282,35.839268
283,36.51239
284,34.768085
285,37.049503
286,36.543972
287,35.255184
288,35.564167
289,35.919052
290,36.560394
291,34.41794
292,35.51262
293,36.75495
294,35.64381
295,36.919067
296,35.00445
297,34.04894
298,35.03844
